file,primary_role,notes_before,notes_after,reduced,harmony_preserved,trills,cc,korg_valid,musical_before,musical_after
Ostani Zauvek Tu - Sinan Sakic ).mid,accordion,5940,5940,0,0,0,5940,True,70.8,86.6
"Ostao sam, sam - Toma Zdravkovic ).mid",accordion,9208,9208,0,0,0,9208,True,70.8,86.7
Ostavljas_me_samog_'_-_Rizo_Hamidovic.mid,drums,8891,8891,0,0,0,8891,True,70.8,86.7
Osvetnik - Mile Kitic ).mid,accordion,10188,10188,0,0,24,10188,True,70.8,87.5
Otrov - Halid Beslic ).mid,organ,11944,11944,0,0,6,11944,True,70.8,87.3
Ozeni_me_babo_moj_-_K.Malovcic.mid,drums,4518,4518,0,0,4,4518,True,70.8,87.5
Pesma od bola - Aca Lukas ).mid,drums,10441,10441,0,0,0,10441,True,70.8,86.7
Pesme moje - Toma ).mid,accordion,7089,7089,0,0,0,7089,True,70.8,86.6
Pevajte mi o Vesni - Kemal Malovcic ).mid,woodwind,7607,7607,0,0,51,7607,True,70.8,87.5
Pitaju me pitaju - Serif Konjevic ).mid,organ,19317,19317,0,0,30,19317,True,70.8,87.5
Pjesma O Njoj - Halid Beslic ).mid,accordion,16831,16831,0,0,272,16831,True,70.8,87.5
Placem kao dijete- Serif Konjevic ).mid,accordion,7105,7105,0,0,0,7105,True,70.8,86.7
Placite_sa_mnom_jesenje_kise_-_Ljuba_Alicic.mid,drums,4263,4263,0,0,3,4263,True,70.8,87.5
Plavo oko plakalo je - Keba ).mid,drums,9316,9316,0,0,0,9316,True,70.8,86.7
Pogledaj me ti - Sinan Sakic ).mid,drums,10538,10538,0,0,57,10538,True,70.8,87.3
Pokloni poljubac - Sinan Sakic ).mid,accordion,10880,10880,0,0,0,10880,True,70.8,86.7
Potrazicu oci nesto zelenije - Marinko Rokvic ).mid,accordion,10846,10846,0,0,495,10846,True,70.8,87.5
Pozdravi je pozdravi - Miroslav Ilic ).mid,accordion,8475,8475,0,0,57,8475,True,70.8,87.5
Pozuri - Halid Beslic ).mid,drums,5448,5448,0,0,0,5448,True,70.8,86.7
